iter	Passed	Remaining
411	3913	15085
412	3923	15075
413	3932	15064
414	3941	15052
415	3950	15043
416	3959	15032
417	3969	15021
418	3978	15011
419	3987	15000
420	3996	14990
421	4005	14979
422	4015	14969
423	4025	14962
424	4035	14954
425	4045	14945
426	4054	14936
427	4063	14925
428	4072	14914
429	4081	14903
430	4091	14894
431	4100	14883
432	4109	14873
433	4119	14864
434	4128	14854
435	4138	14844
436	4147	14834
437	4156	14824
438	4166	14814
439	4175	14804
440	4185	14794
441	4194	14784
442	4203	14772
443	4213	14764
444	4222	14754
445	4230	14741
446	4240	14731
447	4249	14720
448	4258	14709
449	4267	14699
450	4276	14688
451	4285	14678
452	4295	14669
453	4304	14658
454	4313	14648
455	4323	14639
456	4332	14628
457	4341	14617
458	4351	14608
459	4360	14598
460	4369	14588
461	4379	14578
462	4388	14568
463	4398	14559
464	4407	14548
465	4416	14538
466	4425	14528
467	4434	14516
468	4443	14505
469	4452	14495
470	4462	14485
471	4471	14474
472	4480	14464
473	4489	14454
474	4498	14443
475	4507	14431
476	4516	14421
477	4525	14410
478	4535	14400
479	4544	14390
480	4553	14380
481	4563	14370
482	4572	14360
483	4581	14349
484	4590	14339
485	4599	14329
486	4608	14318
487	4618	14309
488	4627	14298
489	4636	14288
490	4645	14278
491	4655	14268
492	4664	14259
493	4674	14249
494	4683	14239
495	4692	14230
496	4702	14220
497	4711	14209
498	4720	14199
499	4730	14190
500	4739	14181
501	4749	14172
502	4758	14163
503	4768	14154
504	4778	14145
505	4787	14135
506	4796	14125
507	4806	14116
508	4815	14106
509	4825	14098
510	4835	14089
511	4844	14079
512	4853	14069
513	4863	14060
514	4872	14050
515	4882	14042
516	4892	14033
517	4901	14024
518	4911	14015
519	4921	14006
520	4930	13996
521	4940	13988
522	4950	13979
523	4959	13970
524	4969	13960
525	4978	13952
526	4988	13942
527	4997	13933
528	5007	13924
529	5017	13915
530	5026	13905
531	5036	13896
532	5045	13886
533	5055	13877
534	5064	13869
535	5074	13859
536	5083	13850
537	5093	13841
538	5103	13832
539	5112	13823
540	5123	13816
541	5132	13806
542	5141	13795
543	5150	13785
544	5159	13774
545	5169	13765
546	5178	13755
547	5187	13744
548	5196	13734
549	5205	13723
550	5215	13714
551	5224	13704
552	5233	13694
553	5242	13684
554	5252	13674
555	5261	13663
556	5269	13652
557	5279	13642
558	5289	13634
559	5298	13625
560	5308	13616
561	5317	13606
562	5327	13597
563	5336	13587
564	5345	13576
565	5354	13566
566	5363	13555
567	5372	13544
568	5382	13535
569	5390	13524
570	5400	13514
571	5409	13504
572	5418	13494
573	5428	13485
574	5438	13476
575	5446	13466
576	5456	13456
577	5465	13446
578	5474	13435
579	5483	13425
580	5493	13416
581	5502	13405
582	5511	13395
583	5520	13385
584	5529	13375
585	5539	13366
586	5548	13356
587	5557	13346
588	5567	13336
589	5576	13326
590	5586	13317
591	5595	13308
592	5605	13301
593	5614	13290
594	5623	13280
595	5633	13270
596	5642	13259
597	5651	13249
598	5660	13240
599	5670	13230
600	5679	13221
601	5688	13210
602	5698	13201
603	5707	13191
604	5716	13181
605	5726	13172
606	5735	13162
607	5744	13151
608	5753	13141
609	5763	13132
610	5772	13122
611	5781	13112
612	5791	13103
613	5800	13093
614	5809	13083
615	5819	13074
616	5827	13063
617	5837	13053
618	5846	13043
619	5855	13033
620	5864	13023
621	5873	13013
622	5883	13004
623	5892	12993
624	5900	12982
625	5909	12971
626	5919	12963
627	5929	12953
628	5938	12944
629	5948	12935
630	5958	12926
631	5968	12918
632	5978	12909
633	5987	12900
634	5997	12891
635	6006	12880
636	6014	12869
637	6023	12859
638	6033	12851
639	6042	12840
640	6052	12831
641	6061	12822
642	6071	12812
643	6079	12801
644	6089	12792
645	6098	12782
646	6107	12772
647	6117	12763
648	6126	12753
649	6135	12742
650	6144	12732
651	6153	12721
652	6162	12711
653	6171	12702
654	6181	12692
655	6190	12682
656	6199	12672
657	6208	12663
658	6218	12654
659	6227	12644
660	6237	12635
661	6246	12624
662	6255	12614
663	6264	12604
664	6273	12595
