iter	MAP
0	0.8127887029
5	0.8360338782
10	0.8441604518
15	0.8455081038
20	0.8561322695
25	0.8603629097
30	0.8623570227
35	0.86262125
40	0.8627526241
45	0.8633517719
50	0.8686252284
55	0.8699573649
60	0.8705095426
65	0.8706136055
70	0.8700222476
75	0.8705182182
80	0.8718647039
85	0.8721599033
90	0.8723222934
95	0.8724758544
100	0.8723718655
105	0.8723330179
110	0.8723901607
115	0.8730793516
120	0.8730356463
125	0.8730730749
130	0.8746392783
135	0.8751608463
140	0.8766694909
145	0.8774903648
150	0.8775325728
155	0.8776430767
160	0.8775859789
165	0.8781828039
170	0.8787807133
175	0.8788297399
180	0.8793974154
185	0.8795659778
190	0.8800658783
195	0.8802262584
200	0.8809342332
205	0.881441549
210	0.881573494
215	0.8816052375
220	0.8818079085
225	0.8823098908
230	0.8824288676
235	0.8824883909
240	0.8828081331
245	0.883015183
250	0.8831276341
255	0.8832500946
260	0.8833141594
265	0.8834540957
270	0.8835310615
275	0.8835504312
280	0.8834864956
285	0.8835054264
290	0.883781888
295	0.8838976036
300	0.8838340553
305	0.8838811984
310	0.883864101
315	0.8839112186
320	0.8840112748
325	0.8840976788
330	0.8841181642
335	0.8841401854
340	0.8841106015
345	0.8841694097
350	0.8841662026
355	0.884269538
360	0.8843103723
365	0.8844851562
370	0.8845706857
375	0.8845937704
380	0.8845864468
385	0.8846438823
390	0.8846911313
395	0.884692227
400	0.8847198839
405	0.8850519123
410	0.885094115
415	0.8851367247
420	0.8853117751
425	0.8853420477
430	0.8853680465
435	0.8853921333
440	0.8853904508
445	0.8855503417
450	0.8854938209
455	0.8855059123
460	0.8856074865
465	0.8856254887
470	0.8856831208
475	0.8857281519
480	0.8858876822
485	0.885927329
490	0.8860519078
495	0.8860266533
500	0.8861498414
505	0.8861723899
510	0.8861837568
515	0.8861879866
520	0.8862898372
525	0.8863603831
530	0.8863931348
535	0.886396496
540	0.8864948776
545	0.8864783782
550	0.8865088353
555	0.886558829
560	0.8865665463
565	0.8866968275
570	0.8867649866
575	0.8867566304
580	0.886792745
585	0.8868809208
590	0.8868803423
595	0.8868771254
600	0.8869238594
605	0.8869140578
610	0.886996832
615	0.8869938408
620	0.8869965871
625	0.8870047762
630	0.887044663
635	0.8870193861
640	0.8870918719
645	0.887246154
650	0.8873731292
655	0.8873909952
660	0.8874127864
665	0.8875457833
670	0.8875966174
675	0.887591175
680	0.8876476746
685	0.8876683859
690	0.8876356525
695	0.8876371916
700	0.8876956556
705	0.8878336614
710	0.8877879395
715	0.8878613126
720	0.8878248479
725	0.88792573
730	0.8879328148
735	0.8879764785
740	0.8880313212
745	0.8880220228
750	0.888047596
755	0.8881224667
760	0.8881055403
765	0.8881418251
770	0.8881835411
775	0.888200694
